SL,Desc,UH
pop[10] a1p,*present-optative class10 active first-person plural,{kartari;viDiliN;u;bahu;parasmEpadI;curAdi;#;}
pop[10] a2s,*present-optative class10 active second-person singular,{kartari;viDiliN;ma;eka;parasmEpadI;curAdi;#;}
pop[10] a2d,*present-optative class10 active second-person dual,{kartari;viDiliN;ma;dvi;parasmEpadI;curAdi;#;}
pop[10] a2p,*present-optative class10 active second-person plural,{kartari;viDiliN;ma;bahu;parasmEpadI;curAdi;#;}
pop[10] a3s,*present-optative class10 active third-person singular,{kartari;viDiliN;pra;eka;parasmEpadI;curAdi;#;}
pop[10] a3d,*present-optative class10 active third-person dual,{kartari;viDiliN;pra;dvi;parasmEpadI;curAdi;#;}
pop[10] a3p,*present-optative class10 active third-person plural,{kartari;viDiliN;pra;bahu;parasmEpadI;curAdi;#;}
pop[10] m1s,*present-optative class10 middle first-person singular,{kartari;viDiliN;u;eka;AtmanepadI;curAdi;#;}
pop[10] m1d,*present-optative class10 middle first-person dual,{kartari;viDiliN;u;dvi;AtmanepadI;curAdi;#;}
pop[10] m1p,*present-optative class10 middle first-person plural,{kartari;viDiliN;u;bahu;AtmanepadI;curAdi;#;}
pop[10] m2s,*present-optative class10 middle second-person singular,{kartari;viDiliN;ma;eka;AtmanepadI;curAdi;#;}
pop[10] m2d,*present-optative class10 middle second-person dual,{kartari;viDiliN;ma;dvi;AtmanepadI;curAdi;#;}
pop[10] m2p,*present-optative class10 middle second-person plural,{kartari;viDiliN;ma;bahu;AtmanepadI;curAdi;#;}
pop[10] m3s,*present-optative class10 middle third-person singular,{kartari;viDiliN;pra;eka;AtmanepadI;curAdi;#;}
pop[10] m3d,*present-optative class10 middle third-person dual,{kartari;viDiliN;pra;dvi;AtmanepadI;curAdi;#;}
pop[10] m3p,*present-optative class10 middle third-person plural,{kartari;viDiliN;pra;bahu;AtmanepadI;curAdi;#;}
pop a1s,*present-optative active first-person singular,{kartari;viDiliN;u;eka;parasmEpadI;;#;}
pop a1d,*present-optative active first-person dual,{kartari;viDiliN;u;dvi;parasmEpadI;;#;}
pop a1p,*present-optative active first-person plural,{kartari;viDiliN;u;bahu;parasmEpadI;;#;}
pop a2s,*present-optative active second-person singular,{kartari;viDiliN;ma;eka;parasmEpadI;;#;}
pop a2d,*present-optative active second-person dual,{kartari;viDiliN;ma;dvi;parasmEpadI;;#;}
pop a2p,*present-optative active second-person plural,{kartari;viDiliN;ma;bahu;parasmEpadI;;#;}
pop a3s,*present-optative active third-person singular,{kartari;viDiliN;pra;eka;parasmEpadI;;#;}
pop a3d,*present-optative active third-person dual,{kartari;viDiliN;pra;dvi;parasmEpadI;;#;}
pop a3p,*present-optative active third-person plural,{kartari;viDiliN;pra;bahu;parasmEpadI;;#;}
pop m1s,*present-optative middle first-person singular,{kartari;viDiliN;u;eka;AtmanepadI;;#;}
pop m1d,*present-optative middle first-person dual,{kartari;viDiliN;u;dvi;AtmanepadI;;#;}
pop m1p,*present-optative middle first-person plural,{kartari;viDiliN;u;bahu;AtmanepadI;;#;}
pop m2s,*present-optative middle second-person singular,{kartari;viDiliN;ma;eka;AtmanepadI;;#;}
pop m2d,*present-optative middle second-person dual,{kartari;viDiliN;ma;dvi;AtmanepadI;;#;}
pop m2p,*present-optative middle second-person plural,{kartari;viDiliN;ma;bahu;AtmanepadI;;#;}
pop m3s,*present-optative middle third-person singular,{kartari;viDiliN;pra;eka;AtmanepadI;;#;}
pop m3d,*present-optative middle third-person dual,{kartari;viDiliN;pra;dvi;AtmanepadI;;#;}
pop m3p,*present-optative middle third-person plural,{kartari;viDiliN;pra;bahu;AtmanepadI;;#;}
pop p1s,*present-optative passive first-person singular,{karmaRi;viDiliN;u;eka;AtmanepadI;;#;}
pop p1d,*present-optative passive first-person dual,{karmaRi;viDiliN;u;dvi;AtmanepadI;;#;}
pop p1p,*present-optative passive first-person plural,{karmaRi;viDiliN;u;bahu;AtmanepadI;;#;}
pop p2s,*present-optative passive second-person singular,{karmaRi;viDiliN;ma;eka;AtmanepadI;;#;}
pop p2d,*present-optative passive second-person dual,{karmaRi;viDiliN;ma;dvi;AtmanepadI;;#;}
pop p2p,*present-optative passive second-person plural,{karmaRi;viDiliN;ma;bahu;AtmanepadI;;#;}
pop p3s,*present-optative passive third-person singular,{karmaRi;viDiliN;pra;eka;AtmanepadI;;#;}
pop p3d,*present-optative passive third-person dual,{karmaRi;viDiliN;pra;dvi;AtmanepadI;;#;}
pop p3p,*present-optative passive third-person plural,{karmaRi;viDiliN;pra;bahu;AtmanepadI;;#;}
psb[1] a1s,*present-subjunctive class1 active first-person singular,{kartari;lew;u;eka;parasmEpadI;BvAdi;#;}
psb[1] a1d,*present-subjunctive class1 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;BvAdi;#;}
psb[1] a1p,*present-subjunctive class1 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;BvAdi;#;}
psb[1] a2s,*present-subjunctive class1 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;BvAdi;#;}
psb[1] a2d,*present-subjunctive class1 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;BvAdi;#;}
psb[1] a2p,*present-subjunctive class1 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;BvAdi;#;}
psb[1] a3s,*present-subjunctive class1 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;BvAdi;#;}
psb[1] a3d,*present-subjunctive class1 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;BvAdi;#;}
psb[1] a3p,*present-subjunctive class1 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;BvAdi;#;}
psb[1] m1s,*present-subjunctive class1 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;BvAdi;#;}
psb[1] m1d,*present-subjunctive class1 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;BvAdi;#;}
psb[1] m1p,*present-subjunctive class1 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;BvAdi;#;}
psb[1] m2s,*present-subjunctive class1 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;BvAdi;#;}
psb[1] m2d,*present-subjunctive class1 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;BvAdi;#;}
psb[1] m2p,*present-subjunctive class1 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;BvAdi;#;}
psb[1] m3s,*present-subjunctive class1 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;BvAdi;#;}
psb[1] m3d,*present-subjunctive class1 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;BvAdi;#;}
psb[1] m3p,*present-subjunctive class1 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;BvAdi;#;}
psb[2] a1s,*present-subjunctive class2 active first-person singular,{kartari;lew;u;eka;parasmEpadI;adAdi;#;}
psb[2] a1d,*present-subjunctive class2 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;adAdi;#;}
psb[2] a1p,*present-subjunctive class2 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;adAdi;#;}
psb[2] a2s,*present-subjunctive class2 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;adAdi;#;}
psb[2] a2d,*present-subjunctive class2 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;adAdi;#;}
psb[2] a2p,*present-subjunctive class2 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;adAdi;#;}
psb[2] a3s,*present-subjunctive class2 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;adAdi;#;}
psb[2] a3d,*present-subjunctive class2 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;adAdi;#;}
psb[2] a3p,*present-subjunctive class2 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;adAdi;#;}
psb[2] m1s,*present-subjunctive class2 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;adAdi;#;}
psb[2] m1d,*present-subjunctive class2 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;adAdi;#;}
psb[2] m1p,*present-subjunctive class2 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;adAdi;#;}
psb[2] m2s,*present-subjunctive class2 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;adAdi;#;}
psb[2] m2d,*present-subjunctive class2 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;adAdi;#;}
psb[2] m2p,*present-subjunctive class2 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;adAdi;#;}
psb[2] m3s,*present-subjunctive class2 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;adAdi;#;}
psb[2] m3d,*present-subjunctive class2 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;adAdi;#;}
psb[2] m3p,*present-subjunctive class2 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;adAdi;#;}
psb[3] a1s,*present-subjunctive class3 active first-person singular,{kartari;lew;u;eka;parasmEpadI;juhotyAdi;#;}
psb[3] a1d,*present-subjunctive class3 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;juhotyAdi;#;}
psb[3] a1p,*present-subjunctive class3 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;juhotyAdi;#;}
psb[3] a2s,*present-subjunctive class3 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;juhotyAdi;#;}
psb[3] a2d,*present-subjunctive class3 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;juhotyAdi;#;}
psb[3] a2p,*present-subjunctive class3 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;juhotyAdi;#;}
psb[3] a3s,*present-subjunctive class3 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;juhotyAdi;#;}
psb[3] a3d,*present-subjunctive class3 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;juhotyAdi;#;}
psb[3] a3p,*present-subjunctive class3 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;juhotyAdi;#;}
psb[3] m1s,*present-subjunctive class3 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;juhotyAdi;#;}
psb[3] m1d,*present-subjunctive class3 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;juhotyAdi;#;}
psb[3] m1p,*present-subjunctive class3 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;juhotyAdi;#;}
psb[3] m2s,*present-subjunctive class3 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;juhotyAdi;#;}
psb[3] m2d,*present-subjunctive class3 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;juhotyAdi;#;}
psb[3] m2p,*present-subjunctive class3 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;juhotyAdi;#;}
psb[3] m3s,*present-subjunctive class3 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;juhotyAdi;#;}
psb[3] m3d,*present-subjunctive class3 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;juhotyAdi;#;}
psb[3] m3p,*present-subjunctive class3 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;juhotyAdi;#;}
psb[4] a1s,*present-subjunctive class4 active first-person singular,{kartari;lew;u;eka;parasmEpadI;divAdi;#;}
psb[4] a1d,*present-subjunctive class4 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;divAdi;#;}
psb[4] a1p,*present-subjunctive class4 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;divAdi;#;}
psb[4] a2s,*present-subjunctive class4 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;divAdi;#;}
psb[4] a2d,*present-subjunctive class4 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;divAdi;#;}
psb[4] a2p,*present-subjunctive class4 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;divAdi;#;}
psb[4] a3s,*present-subjunctive class4 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;divAdi;#;}
psb[4] a3d,*present-subjunctive class4 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;divAdi;#;}
psb[4] a3p,*present-subjunctive class4 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;divAdi;#;}
psb[4] m1s,*present-subjunctive class4 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;divAdi;#;}
psb[4] m1d,*present-subjunctive class4 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;divAdi;#;}
psb[4] m1p,*present-subjunctive class4 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;divAdi;#;}
psb[4] m2s,*present-subjunctive class4 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;divAdi;#;}
psb[4] m2d,*present-subjunctive class4 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;divAdi;#;}
psb[4] m2p,*present-subjunctive class4 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;divAdi;#;}
psb[4] m3s,*present-subjunctive class4 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;divAdi;#;}
psb[4] m3d,*present-subjunctive class4 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;divAdi;#;}
psb[4] m3p,*present-subjunctive class4 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;divAdi;#;}
psb[5] a1s,*present-subjunctive class5 active first-person singular,{kartari;lew;u;eka;parasmEpadI;svAdi;#;}
psb[5] a1d,*present-subjunctive class5 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;svAdi;#;}
psb[5] a1p,*present-subjunctive class5 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;svAdi;#;}
psb[5] a2s,*present-subjunctive class5 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;svAdi;#;}
psb[5] a2d,*present-subjunctive class5 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;svAdi;#;}
psb[5] a2p,*present-subjunctive class5 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;svAdi;#;}
psb[5] a3s,*present-subjunctive class5 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;svAdi;#;}
psb[5] a3d,*present-subjunctive class5 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;svAdi;#;}
psb[5] a3p,*present-subjunctive class5 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;svAdi;#;}
psb[5] m1s,*present-subjunctive class5 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;svAdi;#;}
psb[5] m1d,*present-subjunctive class5 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;svAdi;#;}
psb[5] m1p,*present-subjunctive class5 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;svAdi;#;}
psb[5] m2s,*present-subjunctive class5 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;svAdi;#;}
psb[5] m2d,*present-subjunctive class5 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;svAdi;#;}
psb[5] m2p,*present-subjunctive class5 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;svAdi;#;}
psb[5] m3s,*present-subjunctive class5 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;svAdi;#;}
psb[5] m3d,*present-subjunctive class5 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;svAdi;#;}
psb[5] m3p,*present-subjunctive class5 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;svAdi;#;}
psb[6] a1s,*present-subjunctive class6 active first-person singular,{kartari;lew;u;eka;parasmEpadI;tudAdi;#;}
psb[6] a1d,*present-subjunctive class6 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;tudAdi;#;}
psb[6] a1p,*present-subjunctive class6 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;tudAdi;#;}
psb[6] a2s,*present-subjunctive class6 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;tudAdi;#;}
psb[6] a2d,*present-subjunctive class6 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;tudAdi;#;}
psb[6] a2p,*present-subjunctive class6 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;tudAdi;#;}
psb[6] a3s,*present-subjunctive class6 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;tudAdi;#;}
psb[6] a3d,*present-subjunctive class6 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;tudAdi;#;}
psb[6] a3p,*present-subjunctive class6 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;tudAdi;#;}
psb[6] m1s,*present-subjunctive class6 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;tudAdi;#;}
psb[6] m1d,*present-subjunctive class6 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;tudAdi;#;}
psb[6] m1p,*present-subjunctive class6 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;tudAdi;#;}
psb[6] m2s,*present-subjunctive class6 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;tudAdi;#;}
psb[6] m2d,*present-subjunctive class6 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;tudAdi;#;}
psb[6] m2p,*present-subjunctive class6 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;tudAdi;#;}
psb[6] m3s,*present-subjunctive class6 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;tudAdi;#;}
psb[6] m3d,*present-subjunctive class6 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;tudAdi;#;}
psb[6] m3p,*present-subjunctive class6 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;tudAdi;#;}
psb[7] a1s,*present-subjunctive class7 active first-person singular,{kartari;lew;u;eka;parasmEpadI;ruDAdi;#;}
psb[7] a1d,*present-subjunctive class7 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;ruDAdi;#;}
psb[7] a1p,*present-subjunctive class7 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;ruDAdi;#;}
psb[7] a2s,*present-subjunctive class7 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;ruDAdi;#;}
psb[7] a2d,*present-subjunctive class7 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;ruDAdi;#;}
psb[7] a2p,*present-subjunctive class7 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;ruDAdi;#;}
psb[7] a3s,*present-subjunctive class7 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;ruDAdi;#;}
psb[7] a3d,*present-subjunctive class7 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;ruDAdi;#;}
psb[7] a3p,*present-subjunctive class7 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;ruDAdi;#;}
psb[7] m1s,*present-subjunctive class7 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;ruDAdi;#;}
psb[7] m1d,*present-subjunctive class7 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;ruDAdi;#;}
psb[7] m1p,*present-subjunctive class7 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;ruDAdi;#;}
psb[7] m2s,*present-subjunctive class7 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;ruDAdi;#;}
psb[7] m2d,*present-subjunctive class7 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;ruDAdi;#;}
psb[7] m2p,*present-subjunctive class7 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;ruDAdi;#;}
psb[7] m3s,*present-subjunctive class7 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;ruDAdi;#;}
psb[7] m3d,*present-subjunctive class7 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;ruDAdi;#;}
psb[7] m3p,*present-subjunctive class7 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;ruDAdi;#;}
psb[8] a1s,*present-subjunctive class8 active first-person singular,{kartari;lew;u;eka;parasmEpadI;tanAdi;#;}
psb[8] a1d,*present-subjunctive class8 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;tanAdi;#;}
psb[8] a1p,*present-subjunctive class8 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;tanAdi;#;}
psb[8] a2s,*present-subjunctive class8 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;tanAdi;#;}
psb[8] a2d,*present-subjunctive class8 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;tanAdi;#;}
psb[8] a2p,*present-subjunctive class8 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;tanAdi;#;}
psb[8] a3s,*present-subjunctive class8 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;tanAdi;#;}
psb[8] a3d,*present-subjunctive class8 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;tanAdi;#;}
psb[8] a3p,*present-subjunctive class8 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;tanAdi;#;}
psb[8] m1s,*present-subjunctive class8 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;tanAdi;#;}
psb[8] m1d,*present-subjunctive class8 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;tanAdi;#;}
psb[8] m1p,*present-subjunctive class8 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;tanAdi;#;}
psb[8] m2s,*present-subjunctive class8 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;tanAdi;#;}
psb[8] m2d,*present-subjunctive class8 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;tanAdi;#;}
psb[8] m2p,*present-subjunctive class8 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;tanAdi;#;}
psb[8] m3s,*present-subjunctive class8 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;tanAdi;#;}
psb[8] m3d,*present-subjunctive class8 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;tanAdi;#;}
psb[8] m3p,*present-subjunctive class8 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;tanAdi;#;}
psb[9] a1s,*present-subjunctive class9 active first-person singular,{kartari;lew;u;eka;parasmEpadI;kryAdi;#;}
psb[9] a1d,*present-subjunctive class9 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;kryAdi;#;}
psb[9] a1p,*present-subjunctive class9 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;kryAdi;#;}
psb[9] a2s,*present-subjunctive class9 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;kryAdi;#;}
psb[9] a2d,*present-subjunctive class9 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;kryAdi;#;}
psb[9] a2p,*present-subjunctive class9 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;kryAdi;#;}
psb[9] a3s,*present-subjunctive class9 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;kryAdi;#;}
psb[9] a3d,*present-subjunctive class9 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;kryAdi;#;}
psb[9] a3p,*present-subjunctive class9 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;kryAdi;#;}
psb[9] m1s,*present-subjunctive class9 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;kryAdi;#;}
psb[9] m1d,*present-subjunctive class9 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;kryAdi;#;}
psb[9] m1p,*present-subjunctive class9 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;kryAdi;#;}
psb[9] m2s,*present-subjunctive class9 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;kryAdi;#;}
psb[9] m2d,*present-subjunctive class9 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;kryAdi;#;}
psb[9] m2p,*present-subjunctive class9 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;kryAdi;#;}
psb[9] m3s,*present-subjunctive class9 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;kryAdi;#;}
psb[9] m3d,*present-subjunctive class9 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;kryAdi;#;}
psb[9] m3p,*present-subjunctive class9 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;kryAdi;#;}
psb[10] a1s,*present-subjunctive class10 active first-person singular,{kartari;lew;u;eka;parasmEpadI;curAdi;#;}
psb[10] a1d,*present-subjunctive class10 active first-person dual,{kartari;lew;u;dvi;parasmEpadI;curAdi;#;}
psb[10] a1p,*present-subjunctive class10 active first-person plural,{kartari;lew;u;bahu;parasmEpadI;curAdi;#;}
psb[10] a2s,*present-subjunctive class10 active second-person singular,{kartari;lew;ma;eka;parasmEpadI;curAdi;#;}
psb[10] a2d,*present-subjunctive class10 active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;curAdi;#;}
psb[10] a2p,*present-subjunctive class10 active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;curAdi;#;}
psb[10] a3s,*present-subjunctive class10 active third-person singular,{kartari;lew;pra;eka;parasmEpadI;curAdi;#;}
psb[10] a3d,*present-subjunctive class10 active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;curAdi;#;}
psb[10] a3p,*present-subjunctive class10 active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;curAdi;#;}
psb[10] m1s,*present-subjunctive class10 middle first-person singular,{kartari;lew;u;eka;AtmanepadI;curAdi;#;}
psb[10] m1d,*present-subjunctive class10 middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;curAdi;#;}
psb[10] m1p,*present-subjunctive class10 middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;curAdi;#;}
psb[10] m2s,*present-subjunctive class10 middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;curAdi;#;}
psb[10] m2d,*present-subjunctive class10 middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;curAdi;#;}
psb[10] m2p,*present-subjunctive class10 middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;curAdi;#;}
psb[10] m3s,*present-subjunctive class10 middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;curAdi;#;}
psb[10] m3d,*present-subjunctive class10 middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;curAdi;#;}
psb[10] m3p,*present-subjunctive class10 middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;curAdi;#;}
psb a1s,*present-subjunctive active first-person singular,{kartari;lew;u;eka;parasmEpadI;;#;}
psb a1d,*present-subjunctive active first-person dual,{kartari;lew;u;dvi;parasmEpadI;;#;}
psb a1p,*present-subjunctive active first-person plural,{kartari;lew;u;bahu;parasmEpadI;;#;}
psb a2s,*present-subjunctive active second-person singular,{kartari;lew;ma;eka;parasmEpadI;;#;}
psb a2d,*present-subjunctive active second-person dual,{kartari;lew;ma;dvi;parasmEpadI;;#;}
psb a2p,*present-subjunctive active second-person plural,{kartari;lew;ma;bahu;parasmEpadI;;#;}
psb a3s,*present-subjunctive active third-person singular,{kartari;lew;pra;eka;parasmEpadI;;#;}
psb a3d,*present-subjunctive active third-person dual,{kartari;lew;pra;dvi;parasmEpadI;;#;}
psb a3p,*present-subjunctive active third-person plural,{kartari;lew;pra;bahu;parasmEpadI;;#;}
psb m1s,*present-subjunctive middle first-person singular,{kartari;lew;u;eka;AtmanepadI;;#;}
psb m1d,*present-subjunctive middle first-person dual,{kartari;lew;u;dvi;AtmanepadI;;#;}
psb m1p,*present-subjunctive middle first-person plural,{kartari;lew;u;bahu;AtmanepadI;;#;}
psb m2s,*present-subjunctive middle second-person singular,{kartari;lew;ma;eka;AtmanepadI;;#;}
psb m2d,*present-subjunctive middle second-person dual,{kartari;lew;ma;dvi;AtmanepadI;;#;}
psb m2p,*present-subjunctive middle second-person plural,{kartari;lew;ma;bahu;AtmanepadI;;#;}
psb m3s,*present-subjunctive middle third-person singular,{kartari;lew;pra;eka;AtmanepadI;;#;}
psb m3d,*present-subjunctive middle third-person dual,{kartari;lew;pra;dvi;AtmanepadI;;#;}
psb m3p,*present-subjunctive middle third-person plural,{kartari;lew;pra;bahu;AtmanepadI;;#;}
psb p1s,*present-subjunctive passive first-person singular,{karmaRi;lew;u;eka;AtmanepadI;;#;}
