SL,Desc,UH
pre[3] m2d,*present-indicative class3 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;juhotyAdi;#;}
pre[3] m2p,*present-indicative class3 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;juhotyAdi;#;}
pre[3] m3s,*present-indicative class3 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;juhotyAdi;#;}
pre[3] m3d,*present-indicative class3 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;juhotyAdi;#;}
pre[3] m3p,*present-indicative class3 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;juhotyAdi;#;}
pre[4] a1s,*present-indicative class4 active first-person singular,{kartari;law;u;eka;parasmEpadI;divAdi;#;}
pre[4] a1d,*present-indicative class4 active first-person dual,{kartari;law;u;dvi;parasmEpadI;divAdi;#;}
pre[4] a1p,*present-indicative class4 active first-person plural,{kartari;law;u;bahu;parasmEpadI;divAdi;#;}
pre[4] a2s,*present-indicative class4 active second-person singular,{kartari;law;ma;eka;parasmEpadI;divAdi;#;}
pre[4] a2d,*present-indicative class4 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;divAdi;#;}
pre[4] a2p,*present-indicative class4 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;divAdi;#;}
pre[4] a3s,*present-indicative class4 active third-person singular,{kartari;law;pra;eka;parasmEpadI;divAdi;#;}
pre[4] a3d,*present-indicative class4 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;divAdi;#;}
pre[4] a3p,*present-indicative class4 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;divAdi;#;}
pre[4] m1s,*present-indicative class4 middle first-person singular,{kartari;law;u;eka;AtmanepadI;divAdi;#;}
pre[4] m1d,*present-indicative class4 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;divAdi;#;}
pre[4] m1p,*present-indicative class4 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;divAdi;#;}
pre[4] m2s,*present-indicative class4 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;divAdi;#;}
pre[4] m2d,*present-indicative class4 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;divAdi;#;}
pre[4] m2p,*present-indicative class4 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;divAdi;#;}
pre[4] m3s,*present-indicative class4 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;divAdi;#;}
pre[4] m3d,*present-indicative class4 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;divAdi;#;}
pre[4] m3p,*present-indicative class4 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;divAdi;#;}
pre[5] a1s,*present-indicative class5 active first-person singular,{kartari;law;u;eka;parasmEpadI;svAdi;#;}
pre[5] a1d,*present-indicative class5 active first-person dual,{kartari;law;u;dvi;parasmEpadI;svAdi;#;}
pre[5] a1p,*present-indicative class5 active first-person plural,{kartari;law;u;bahu;parasmEpadI;svAdi;#;}
pre[5] a2s,*present-indicative class5 active second-person singular,{kartari;law;ma;eka;parasmEpadI;svAdi;#;}
pre[5] a2d,*present-indicative class5 active second-person dual,{kartari;law;ma;dvi;parasmEpadI;svAdi;#;}
pre[5] a2p,*present-indicative class5 active second-person plural,{kartari;law;ma;bahu;parasmEpadI;svAdi;#;}
pre[5] a3s,*present-indicative class5 active third-person singular,{kartari;law;pra;eka;parasmEpadI;svAdi;#;}
pre[5] a3d,*present-indicative class5 active third-person dual,{kartari;law;pra;dvi;parasmEpadI;svAdi;#;}
pre[5] a3p,*present-indicative class5 active third-person plural,{kartari;law;pra;bahu;parasmEpadI;svAdi;#;}
pre[5] m1s,*present-indicative class5 middle first-person singular,{kartari;law;u;eka;AtmanepadI;svAdi;#;}
pre[5] m1d,*present-indicative class5 middle first-person dual,{kartari;law;u;dvi;AtmanepadI;svAdi;#;}
pre[5] m1p,*present-indicative class5 middle first-person plural,{kartari;law;u;bahu;AtmanepadI;svAdi;#;}
pre[5] m2s,*present-indicative class5 middle second-person singular,{kartari;law;ma;eka;AtmanepadI;svAdi;#;}
pre[5] m2d,*present-indicative class5 middle second-person dual,{kartari;law;ma;dvi;AtmanepadI;svAdi;#;}
pre[5] m2p,*present-indicative class5 middle second-person plural,{kartari;law;ma;bahu;AtmanepadI;svAdi;#;}
pre[5] m3s,*present-indicative class5 middle third-person singular,{kartari;law;pra;eka;AtmanepadI;svAdi;#;}
pre[5] m3d,*present-indicative class5 middle third-person dual,{kartari;law;pra;dvi;AtmanepadI;svAdi;#;}
pre[5] m3p,*present-indicative class5 middle third-person plural,{kartari;law;pra;bahu;AtmanepadI;svAdi;#;}
pre[6] a1s,*present-indicative class6 active first-person singular,{kartari;law;u;eka;parasmEpadI;tudAdi;#;}
